"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","1",""
"C1","100nF","","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","100uF","","Capacitor_SMD:CP_Elec_5x3.9","1",""
"C3","C_Polarized_Small","","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"esp1,esp32_1","Conn_01x19_Pin","","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","2",""
"J1,J5,J9","SOCKET_UP","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","3",""
"J2,J6,J10","HEADER_UP","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","3",""
"J3,J7,J11","HEADER_DOWN","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","3",""
"J4,J8,J12","PLACA","","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical,Connector_PinHeader_1.27mm:PinHeader_1x12_P1.27mm_Vertical","3",""
"J13","Conn_01x08_SocketMPU","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J14","Conn_01x04_Socket","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"J15","Screw_Terminal_01x02","","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J16,J18,J20,J21","Conn_01x02","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","4",""
"J17","Conn_01x06_Socket","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"J19","Conn_01x03","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"R1","1K","","Resistor_SMD:R_0805_2012Metric","1",""
"R2","R","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"SW1","SW_SPDT","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","1",""
"U1","25CSM04xxSN","https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/25CSM04-4-Mbit-SPI-Serial-EEPROM-With-128-Bit-Serial-Number-and-Enhanced-Write-Protection-20005817C.pdf","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","1",""
